date	age_group	onsets
2020-01-30	15-59	1
2020-02-02	60-79	1
2020-02-11	60-79	1
2020-02-12	15-59	2
2020-02-12	60-79	2
2020-02-13	15-59	1
2020-02-13	60-79	1
2020-02-13	80+	2
2020-02-14	15-59	3
2020-02-15	15-59	3
2020-02-15	60-79	2
2020-02-16	0-14	1
2020-02-16	15-59	3
2020-02-17	0-14	1
2020-02-17	15-59	3
2020-02-17	60-79	1
2020-02-18	15-59	7
2020-02-18	60-79	3
2020-02-19	0-14	2
2020-02-19	15-59	2
2020-02-19	60-79	2
2020-02-19	80+	1
2020-02-20	15-59	8
2020-02-20	60-79	2
2020-02-20	80+	2
2020-02-21	15-59	8
2020-02-21	60-79	2
2020-02-21	80+	1
2020-02-22	0-14	1
2020-02-22	15-59	11
2020-02-22	60-79	4
2020-02-23	15-59	13
2020-02-23	60-79	3
2020-02-23	80+	3
2020-02-24	0-14	2
2020-02-24	15-59	18
2020-02-24	60-79	3
2020-02-24	80+	1
2020-02-25	15-59	26
2020-02-25	60-79	8
2020-02-25	80+	1
2020-02-26	15-59	30
2020-02-26	60-79	11
2020-02-26	80+	4
2020-02-27	0-14	3
2020-02-27	15-59	45
2020-02-27	60-79	6
2020-02-27	80+	5
2020-02-28	0-14	4
2020-02-28	15-59	53
2020-02-28	60-79	12
2020-02-28	80+	3
2020-02-29	0-14	3
2020-02-29	15-59	72
2020-02-29	60-79	16
2020-02-29	80+	3
2020-03-01	0-14	4
2020-03-01	15-59	72
2020-03-01	60-79	20
2020-03-01	80+	5
2020-03-02	0-14	5
2020-03-02	15-59	97
2020-03-02	60-79	14
2020-03-02	80+	5
2020-03-03	0-14	7
2020-03-03	15-59	93
2020-03-03	60-79	21
2020-03-03	80+	5
2020-03-03	NA	1
2020-03-04	0-14	13
2020-03-04	15-59	106
2020-03-04	60-79	30
2020-03-04	80+	9
2020-03-05	0-14	12
2020-03-05	15-59	123
2020-03-05	60-79	31
2020-03-05	80+	8
2020-03-05	NA	1
2020-03-06	0-14	8
2020-03-06	15-59	175
2020-03-06	60-79	37
2020-03-06	80+	19
2020-03-07	0-14	23
2020-03-07	15-59	213
2020-03-07	60-79	45
2020-03-07	80+	15
2020-03-07	NA	2
2020-03-08	0-14	9
2020-03-08	15-59	231
2020-03-08	60-79	56
2020-03-08	80+	14
2020-03-09	0-14	10
2020-03-09	15-59	340
2020-03-09	60-79	78
2020-03-09	80+	28
2020-03-09	NA	1
2020-03-10	0-14	22
2020-03-10	15-59	404
2020-03-10	60-79	93
2020-03-10	80+	33
2020-03-10	NA	2
2020-03-11	0-14	15
2020-03-11	15-59	500
2020-03-11	60-79	115
2020-03-11	80+	35
2020-03-11	NA	2
